ID,Imię,Nazwisko,Dział,Stanowisko,Wynagrodzenie,Premia,Waluta,Data wypłaty,Email,Telefon,Miasto,Kraj,Umowa,Staż lata,Godziny,Status,Ocena,Projekt,Opis
245,"Imię 245","Nazwisko 245",Logistyka,Pracownik,5500,0,PLN,2026-09-22,user245@example.com,+48100100245,Warszawa,Polska,UoP,6,165,Aktywny,1,"Projekt 245","Rozliczenie miesiąca dla użytkownika 245"
246,"Imię 246","Nazwisko 246",Sprzedaż,Specjalista,5600,150,PLN,2026-09-23,user246@example.com,+48100100246,Warszawa,Polska,UoP,7,166,Aktywny,2,"Projekt 246","Rozliczenie miesiąca dla użytkownika 246"
247,"Imię 247","Nazwisko 247",Logistyka,Pracownik,5700,300,PLN,2026-09-24,user247@example.com,+48100100247,Warszawa,Polska,UoP,8,167,Aktywny,3,"Projekt 247","Rozliczenie miesiąca dla użytkownika 247"
248,"Imię 248","Nazwisko 248",Sprzedaż,Pracownik,5800,450,PLN,2026-09-25,user248@example.com,+48100100248,Warszawa,Polska,UoP,9,168,Aktywny,4,"Projekt 248","Rozliczenie miesiąca dla użytkownika 248"
249,"Imię 249","Nazwisko 249",Logistyka,Specjalista,5900,600,PLN,2026-09-26,user249@example.com,+48100100249,Warszawa,Polska,UoP,10,169,Aktywny,5,"Projekt 249","Rozliczenie miesiąca dla użytkownika 249"
250,"Imię 250","Nazwisko 250",Sprzedaż,Pracownik,3500,750,PLN,2026-09-27,user250@example.com,+48100100250,Warszawa,Polska,UoP,11,170,Aktywny,1,"Projekt 250","Rozliczenie miesiąca dla użytkownika 250"
251,"Imię 251","Nazwisko 251",Logistyka,Pracownik,3600,900,PLN,2026-09-28,user251@example.com,+48100100251,Warszawa,Polska,UoP,12,171,Aktywny,2,"Projekt 251","Rozliczenie miesiąca dla użytkownika 251"
252,"Imię 252","Nazwisko 252",Sprzedaż,Specjalista,3700,0,PLN,2026-09-01,user252@example.com,+48100100252,Warszawa,Polska,UoP,1,172,Aktywny,3,"Projekt 252","Rozliczenie miesiąca dla użytkownika 252"
253,"Imię 253","Nazwisko 253",Logistyka,Pracownik,3800,150,PLN,2026-09-02,user253@example.com,+48100100253,Warszawa,Polska,UoP,2,173,Aktywny,4,"Projekt 253","Rozliczenie miesiąca dla użytkownika 253"
254,"Imię 254","Nazwisko 254",Sprzedaż,Pracownik,3900,300,PLN,2026-09-03,user254@example.com,+48100100254,Warszawa,Polska,UoP,3,174,Aktywny,5,"Projekt 254","Rozliczenie miesiąca dla użytkownika 254"
255,"Imię 255","Nazwisko 255",Logistyka,Specjalista,4000,450,PLN,2026-09-04,user255@example.com,+48100100255,Warszawa,Polska,UoP,4,175,Aktywny,1,"Projekt 255","Rozliczenie miesiąca dla użytkownika 255"
256,"Imię 256","Nazwisko 256",Sprzedaż,Pracownik,4100,600,PLN,2026-09-05,user256@example.com,+48100100256,Warszawa,Polska,UoP,5,176,Aktywny,2,"Projekt 256","Rozliczenie miesiąca dla użytkownika 256"
257,"Imię 257","Nazwisko 257",Logistyka,Pracownik,4200,750,PLN,2026-09-06,user257@example.com,+48100100257,Warszawa,Polska,UoP,6,177,Aktywny,3,"Projekt 257","Rozliczenie miesiąca dla użytkownika 257"
258,"Imię 258","Nazwisko 258",Sprzedaż,Specjalista,4300,900,PLN,2026-09-07,user258@example.com,+48100100258,Warszawa,Polska,UoP,7,178,Aktywny,4,"Projekt 258","Rozliczenie miesiąca dla użytkownika 258"
259,"Imię 259","Nazwisko 259",Logistyka,Pracownik,4400,0,PLN,2026-09-08,user259@example.com,+48100100259,Warszawa,Polska,UoP,8,179,Aktywny,5,"Projekt 259","Rozliczenie miesiąca dla użytkownika 259"
260,"Imię 260","Nazwisko 260",Sprzedaż,Pracownik,4500,150,PLN,2026-09-09,user260@example.com,+48100100260,Warszawa,Polska,UoP,9,180,Aktywny,1,"Projekt 260","Rozliczenie miesiąca dla użytkownika 260"
261,"Imię 261","Nazwisko 261",Logistyka,Specjalista,4600,300,PLN,2026-09-10,user261@example.com,+48100100261,Warszawa,Polska,UoP,10,181,Aktywny,2,"Projekt 261","Rozliczenie miesiąca dla użytkownika 261"
262,"Imię 262","Nazwisko 262",Sprzedaż,Pracownik,4700,450,PLN,2026-09-11,user262@example.com,+48100100262,Warszawa,Polska,UoP,11,182,Aktywny,3,"Projekt 262","Rozliczenie miesiąca dla użytkownika 262"
263,"Imię 263","Nazwisko 263",Logistyka,Pracownik,4800,600,PLN,2026-09-12,user263@example.com,+48100100263,Warszawa,Polska,UoP,12,183,Aktywny,4,"Projekt 263","Rozliczenie miesiąca dla użytkownika 263"
264,"Imię 264","Nazwisko 264",Sprzedaż,Specjalista,4900,750,PLN,2026-09-13,user264@example.com,+48100100264,Warszawa,Polska,UoP,1,184,Aktywny,5,"Projekt 264","Rozliczenie miesiąca dla użytkownika 264"
265,"Imię 265","Nazwisko 265",Logistyka,Pracownik,5000,900,PLN,2026-09-14,user265@example.com,+48100100265,Warszawa,Polska,UoP,2,185,Aktywny,1,"Projekt 265","Rozliczenie miesiąca dla użytkownika 265"
266,"Imię 266","Nazwisko 266",Sprzedaż,Pracownik,5100,0,PLN,2026-09-15,user266@example.com,+48100100266,Warszawa,Polska,UoP,3,186,Aktywny,2,"Projekt 266","Rozliczenie miesiąca dla użytkownika 266"
267,"Imię 267","Nazwisko 267",Logistyka,Specjalista,5200,150,PLN,2026-09-16,user267@example.com,+48100100267,Warszawa,Polska,UoP,4,187,Aktywny,3,"Projekt 267","Rozliczenie miesiąca dla użytkownika 267"
268,"Imię 268","Nazwisko 268",Sprzedaż,Pracownik,5300,300,PLN,2026-09-17,user268@example.com,+48100100268,Warszawa,Polska,UoP,5,188,Aktywny,4,"Projekt 268","Rozliczenie miesiąca dla użytkownika 268"
269,"Imię 269","Nazwisko 269",Logistyka,Pracownik,5400,450,PLN,2026-09-18,user269@example.com,+48100100269,Warszawa,Polska,UoP,6,189,Aktywny,5,"Projekt 269","Rozliczenie miesiąca dla użytkownika 269"
270,"Imię 270","Nazwisko 270",Sprzedaż,Specjalista,5500,600,PLN,2026-09-19,user270@example.com,+48100100270,Warszawa,Polska,UoP,7,190,Aktywny,1,"Projekt 270","Rozliczenie miesiąca dla użytkownika 270"
271,"Imię 271","Nazwisko 271",Logistyka,Pracownik,5600,750,PLN,2026-09-20,user271@example.com,+48100100271,Warszawa,Polska,UoP,8,191,Aktywny,2,"Projekt 271","Rozliczenie miesiąca dla użytkownika 271"
272,"Imię 272","Nazwisko 272",Sprzedaż,Pracownik,5700,900,PLN,2026-09-21,user272@example.com,+48100100272,Warszawa,Polska,UoP,9,192,Aktywny,3,"Projekt 272","Rozliczenie miesiąca dla użytkownika 272"
273,"Imię 273","Nazwisko 273",Logistyka,Specjalista,5800,0,PLN,2026-09-22,user273@example.com,+48100100273,Warszawa,Polska,UoP,10,193,Aktywny,4,"Projekt 273","Rozliczenie miesiąca dla użytkownika 273"
274,"Imię 274","Nazwisko 274",Sprzedaż,Pracownik,5900,150,PLN,2026-09-23,user274@example.com,+48100100274,Warszawa,Polska,UoP,11,194,Aktywny,5,"Projekt 274","Rozliczenie miesiąca dla użytkownika 274"
275,"Imię 275","Nazwisko 275",Logistyka,Pracownik,3500,300,PLN,2026-09-24,user275@example.com,+48100100275,Warszawa,Polska,UoP,12,195,Aktywny,1,"Projekt 275","Rozliczenie miesiąca dla użytkownika 275"
276,"Imię 276","Nazwisko 276",Sprzedaż,Specjalista,3600,450,PLN,2026-09-25,user276@example.com,+48100100276,Warszawa,Polska,UoP,1,196,Aktywny,2,"Projekt 276","Rozliczenie miesiąca dla użytkownika 276"
277,"Imię 277","Nazwisko 277",Logistyka,Pracownik,3700,600,PLN,2026-09-26,user277@example.com,+48100100277,Warszawa,Polska,UoP,2,197,Aktywny,3,"Projekt 277","Rozliczenie miesiąca dla użytkownika 277"
278,"Imię 278","Nazwisko 278",Sprzedaż,Pracownik,3800,750,PLN,2026-09-27,user278@example.com,+48100100278,Warszawa,Polska,UoP,3,198,Aktywny,4,"Projekt 278","Rozliczenie miesiąca dla użytkownika 278"
279,"Imię 279","Nazwisko 279",Logistyka,Specjalista,3900,900,PLN,2026-09-28,user279@example.com,+48100100279,Warszawa,Polska,UoP,4,199,Aktywny,5,"Projekt 279","Rozliczenie miesiąca dla użytkownika 279"
280,"Imię 280","Nazwisko 280",Sprzedaż,Pracownik,4000,0,PLN,2026-09-01,user280@example.com,+48100100280,Warszawa,Polska,UoP,5,160,Aktywny,1,"Projekt 280","Rozliczenie miesiąca dla użytkownika 280"
281,"Imię 281","Nazwisko 281",Logistyka,Pracownik,4100,150,PLN,2026-09-02,user281@example.com,+48100100281,Warszawa,Polska,UoP,6,161,Aktywny,2,"Projekt 281","Rozliczenie miesiąca dla użytkownika 281"
282,"Imię 282","Nazwisko 282",Sprzedaż,Specjalista,4200,300,PLN,2026-09-03,user282@example.com,+48100100282,Warszawa,Polska,UoP,7,162,Aktywny,3,"Projekt 282","Rozliczenie miesiąca dla użytkownika 282"
283,"Imię 283","Nazwisko 283",Logistyka,Pracownik,4300,450,PLN,2026-09-04,user283@example.com,+48100100283,Warszawa,Polska,UoP,8,163,Aktywny,4,"Projekt 283","Rozliczenie miesiąca dla użytkownika 283"
284,"Imię 284","Nazwisko 284",Sprzedaż,Pracownik,4400,600,PLN,2026-09-05,user284@example.com,+48100100284,Warszawa,Polska,UoP,9,164,Aktywny,5,"Projekt 284","Rozliczenie miesiąca dla użytkownika 284"
285,"Imię 285","Nazwisko 285",Logistyka,Specjalista,4500,750,PLN,2026-09-06,user285@example.com,+48100100285,Warszawa,Polska,UoP,10,165,Aktywny,1,"Projekt 285","Rozliczenie miesiąca dla użytkownika 285"
286,"Imię 286","Nazwisko 286",Sprzedaż,Pracownik,4600,900,PLN,2026-09-07,user286@example.com,+48100100286,Warszawa,Polska,UoP,11,166,Aktywny,2,"Projekt 286","Rozliczenie miesiąca dla użytkownika 286"
287,"Imię 287","Nazwisko 287",Logistyka,Pracownik,4700,0,PLN,2026-09-08,user287@example.com,+48100100287,Warszawa,Polska,UoP,12,167,Aktywny,3,"Projekt 287","Rozliczenie miesiąca dla użytkownika 287"
288,"Imię 288","Nazwisko 288",Sprzedaż,Specjalista,4800,150,PLN,2026-09-09,user288@example.com,+48100100288,Warszawa,Polska,UoP,1,168,Aktywny,4,"Projekt 288","Rozliczenie miesiąca dla użytkownika 288"
289,"Imię 289","Nazwisko 289",Logistyka,Pracownik,4900,300,PLN,2026-09-10,user289@example.com,+48100100289,Warszawa,Polska,UoP,2,169,Aktywny,5,"Projekt 289","Rozliczenie miesiąca dla użytkownika 289"
290,"Imię 290","Nazwisko 290",Sprzedaż,Pracownik,5000,450,PLN,2026-09-11,user290@example.com,+48100100290,Warszawa,Polska,UoP,3,170,Aktywny,1,"Projekt 290","Rozliczenie miesiąca dla użytkownika 290"
291,"Imię 291","Nazwisko 291",Logistyka,Specjalista,5100,600,PLN,2026-09-12,user291@example.com,+48100100291,Warszawa,Polska,UoP,4,171,Aktywny,2,"Projekt 291","Rozliczenie miesiąca dla użytkownika 291"
292,"Imię 292","Nazwisko 292",Sprzedaż,Pracownik,5200,750,PLN,2026-09-13,user292@example.com,+48100100292,Warszawa,Polska,UoP,5,172,Aktywny,3,"Projekt 292","Rozliczenie miesiąca dla użytkownika 292"
293,"Imię 293","Nazwisko 293",Logistyka,Pracownik,5300,900,PLN,2026-09-14,user293@example.com,+48100100293,Warszawa,Polska,UoP,6,173,Aktywny,4,"Projekt 293","Rozliczenie miesiąca dla użytkownika 293"
294,"Imię 294","Nazwisko 294",Sprzedaż,Specjalista,5400,0,PLN,2026-09-15,user294@example.com,+48100100294,Warszawa,Polska,UoP,7,174,Aktywny,5,"Projekt 294","Rozliczenie miesiąca dla użytkownika 294"
295,"Imię 295","Nazwisko 295",Logistyka,Pracownik,5500,150,PLN,2026-09-16,user295@example.com,+48100100295,Warszawa,Polska,UoP,8,175,Aktywny,1,"Projekt 295","Rozliczenie miesiąca dla użytkownika 295"
296,"Imię 296","Nazwisko 296",Sprzedaż,Pracownik,5600,300,PLN,2026-09-17,user296@example.com,+48100100296,Warszawa,Polska,UoP,9,176,Aktywny,2,"Projekt 296","Rozliczenie miesiąca dla użytkownika 296"
297,"Imię 297","Nazwisko 297",Logistyka,Specjalista,5700,450,PLN,2026-09-18,user297@example.com,+48100100297,Warszawa,Polska,UoP,10,177,Aktywny,3,"Projekt 297","Rozliczenie miesiąca dla użytkownika 297"
298,"Imię 298","Nazwisko 298",Sprzedaż,Pracownik,5800,600,PLN,2026-09-19,user298@example.com,+48100100298,Warszawa,Polska,UoP,11,178,Aktywny,4,"Projekt 298","Rozliczenie miesiąca dla użytkownika 298"
299,"Imię 299","Nazwisko 299",Logistyka,Pracownik,5900,750,PLN,2026-09-20,user299@example.com,+48100100299,Warszawa,Polska,UoP,12,179,Aktywny,5,"Projekt 299","Rozliczenie miesiąca dla użytkownika 299"
300,"Imię 300","Nazwisko 300",Sprzedaż,Specjalista,3500,900,PLN,2026-09-21,user300@example.com,+48100100300,Warszawa,Polska,UoP,1,180,Aktywny,1,"Projekt 300","Rozliczenie miesiąca dla użytkownika 300"
301,"Imię 301","Nazwisko 301",Logistyka,Pracownik,3600,0,PLN,2026-09-22,user301@example.com,+48100100301,Warszawa,Polska,UoP,2,181,Aktywny,2,"Projekt 301","Rozliczenie miesiąca dla użytkownika 301"
302,"Imię 302","Nazwisko 302",Sprzedaż,Pracownik,3700,150,PLN,2026-09-23,user302@example.com,+48100100302,Warszawa,Polska,UoP,3,182,Aktywny,3,"Projekt 302","Rozliczenie miesiąca dla użytkownika 302"
303,"Imię 303","Nazwisko 303",Logistyka,Specjalista,3800,300,PLN,2026-09-24,user303@example.com,+48100100303,Warszawa,Polska,UoP,4,183,Aktywny,4,"Projekt 303","Rozliczenie miesiąca dla użytkownika 303"
304,"Imię 304","Nazwisko 304",Sprzedaż,Pracownik,3900,450,PLN,2026-09-25,user304@example.com,+48100100304,Warszawa,Polska,UoP,5,184,Aktywny,5,"Projekt 304","Rozliczenie miesiąca dla użytkownika 304"
305,"Imię 305","Nazwisko 305",Logistyka,Pracownik,4000,600,PLN,2026-09-26,user305@example.com,+48100100305,Warszawa,Polska,UoP,6,185,Aktywny,1,"Projekt 305","Rozliczenie miesiąca dla użytkownika 305"
306,"Imię 306","Nazwisko 306",Sprzedaż,Specjalista,4100,750,PLN,2026-09-27,user306@example.com,+48100100306,Warszawa,Polska,UoP,7,186,Aktywny,2,"Projekt 306","Rozliczenie miesiąca dla użytkownika 306"
307,"Imię 307","Nazwisko 307",Logistyka,Pracownik,4200,900,PLN,2026-09-28,user307@example.com,+48100100307,Warszawa,Polska,UoP,8,187,Aktywny,3,"Projekt 307","Rozliczenie miesiąca dla użytkownika 307"
308,"Imię 308","Nazwisko 308",Sprzedaż,Pracownik,4300,0,PLN,2026-09-01,user308@example.com,+48100100308,Warszawa,Polska,UoP,9,188,Aktywny,4,"Projekt 308","Rozliczenie miesiąca dla użytkownika 308"
309,"Imię 309","Nazwisko 309",Logistyka,Specjalista,4400,150,PLN,2026-09-02,user309@example.com,+48100100309,Warszawa,Polska,UoP,10,189,Aktywny,5,"Projekt 309","Rozliczenie miesiąca dla użytkownika 309"
310,"Imię 310","Nazwisko 310",Sprzedaż,Pracownik,4500,300,PLN,2026-09-03,user310@example.com,+48100100310,Warszawa,Polska,UoP,11,190,Aktywny,1,"Projekt 310","Rozliczenie miesiąca dla użytkownika 310"
311,"Imię 311","Nazwisko 311",Logistyka,Pracownik,4600,450,PLN,2026-09-04,user311@example.com,+48100100311,Warszawa,Polska,UoP,12,191,Aktywny,2,"Projekt 311","Rozliczenie miesiąca dla użytkownika 311"
312,"Imię 312","Nazwisko 312",Sprzedaż,Specjalista,4700,600,PLN,2026-09-05,user312@example.com,+48100100312,Warszawa,Polska,UoP,1,192,Aktywny,3,"Projekt 312","Rozliczenie miesiąca dla użytkownika 312"
313,"Imię 313","Nazwisko 313",Logistyka,Pracownik,4800,750,PLN,2026-09-06,user313@example.com,+48100100313,Warszawa,Polska,UoP,2,193,Aktywny,4,"Projekt 313","Rozliczenie miesiąca dla użytkownika 313"
314,"Imię 314","Nazwisko 314",Sprzedaż,Pracownik,4900,900,PLN,2026-09-07,user314@example.com,+48100100314,Warszawa,Polska,UoP,3,194,Aktywny,5,"Projekt 314","Rozliczenie miesiąca dla użytkownika 314"
315,"Imię 315","Nazwisko 315",Logistyka,Specjalista,5000,0,PLN,2026-09-08,user315@example.com,+48100100315,Warszawa,Polska,UoP,4,195,Aktywny,1,"Projekt 315","Rozliczenie miesiąca dla użytkownika 315"
316,"Imię 316","Nazwisko 316",Sprzedaż,Pracownik,5100,150,PLN,2026-09-09,user316@example.com,+48100100316,Warszawa,Polska,UoP,5,196,Aktywny,2,"Projekt 316","Rozliczenie miesiąca dla użytkownika 316"
317,"Imię 317","Nazwisko 317",Logistyka,Pracownik,5200,300,PLN,2026-09-10,user317@example.com,+48100100317,Warszawa,Polska,UoP,6,197,Aktywny,3,"Projekt 317","Rozliczenie miesiąca dla użytkownika 317"
318,"Imię 318","Nazwisko 318",Sprzedaż,Specjalista,5300,450,PLN,2026-09-11,user318@example.com,+48100100318,Warszawa,Polska,UoP,7,198,Aktywny,4,"Projekt 318","Rozliczenie miesiąca dla użytkownika 318"
319,"Imię 319","Nazwisko 319",Logistyka,Pracownik,5400,600,PLN,2026-09-12,user319@example.com,+48100100319,Warszawa,Polska,UoP,8,199,Aktywny,5,"Projekt 319","Rozliczenie miesiąca dla użytkownika 319"
320,"Imię 320","Nazwisko 320",Sprzedaż,Pracownik,5500,750,PLN,2026-09-13,user320@example.com,+48100100320,Warszawa,Polska,UoP,9,160,Aktywny,1,"Projekt 320","Rozliczenie miesiąca dla użytkownika 320"
321,"Imię 321","Nazwisko 321",Logistyka,Specjalista,5600,900,PLN,2026-09-14,user321@example.com,+48100100321,Warszawa,Polska,UoP,10,161,Aktywny,2,"Projekt 321","Rozliczenie miesiąca dla użytkownika 321"
322,"Imię 322","Nazwisko 322",Sprzedaż,Pracownik,5700,0,PLN,2026-09-15,user322@example.com,+48100100322,Warszawa,Polska,UoP,11,162,Aktywny,3,"Projekt 322","Rozliczenie miesiąca dla użytkownika 322"
323,"Imię 323","Nazwisko 323",Logistyka,Pracownik,5800,150,PLN,2026-09-16,user323@example.com,+48100100323,Warszawa,Polska,UoP,12,163,Aktywny,4,"Projekt 323","Rozliczenie miesiąca dla użytkownika 323"
324,"Imię 324","Nazwisko 324",Sprzedaż,Specjalista,5900,300,PLN,2026-09-17,user324@example.com,+48100100324,Warszawa,Polska,UoP,1,164,Aktywny,5,"Projekt 324","Rozliczenie miesiąca dla użytkownika 324"
325,"Imię 325","Nazwisko 325",Logistyka,Pracownik,3500,450,PLN,2026-09-18,user325@example.com,+48100100325,Warszawa,Polska,UoP,2,165,Aktywny,1,"Projekt 325","Rozliczenie miesiąca dla użytkownika 325"
326,"Imię 326","Nazwisko 326",Sprzedaż,Pracownik,3600,600,PLN,2026-09-19,user326@example.com,+48100100326,Warszawa,Polska,UoP,3,166,Aktywny,2,"Projekt 326","Rozliczenie miesiąca dla użytkownika 326"
327,"Imię 327","Nazwisko 327",Logistyka,Specjalista,3700,750,PLN,2026-09-20,user327@example.com,+48100100327,Warszawa,Polska,UoP,4,167,Aktywny,3,"Projekt 327","Rozliczenie miesiąca dla użytkownika 327"
328,"Imię 328","Nazwisko 328",Sprzedaż,Pracownik,3800,900,PLN,2026-09-21,user328@example.com,+48100100328,Warszawa,Polska,UoP,5,168,Aktywny,4,"Projekt 328","Rozliczenie miesiąca dla użytkownika 328"
329,"Imię 329","Nazwisko 329",Logistyka,Pracownik,3900,0,PLN,2026-09-22,user329@example.com,+48100100329,Warszawa,Polska,UoP,6,169,Aktywny,5,"Projekt 329","Rozliczenie miesiąca dla użytkownika 329"
330,"Imię 330","Nazwisko 330",Sprzedaż,Specjalista,4000,150,PLN,2026-09-23,user330@example.com,+48100100330,Warszawa,Polska,UoP,7,170,Aktywny,1,"Projekt 330","Rozliczenie miesiąca dla użytkownika 330"
331,"Imię 331","Nazwisko 331",Logistyka,Pracownik,4100,300,PLN,2026-09-24,user331@example.com,+48100100331,Warszawa,Polska,UoP,8,171,Aktywny,2,"Projekt 331","Rozliczenie miesiąca dla użytkownika 331"
332,"Imię 332","Nazwisko 332",Sprzedaż,Pracownik,4200,450,PLN,2026-09-25,user332@example.com,+48100100332,Warszawa,Polska,UoP,9,172,Aktywny,3,"Projekt 332","Rozliczenie miesiąca dla użytkownika 332"
333,"Imię 333","Nazwisko 333",Logistyka,Specjalista,4300,600,PLN,2026-09-26,user333@example.com,+48100100333,Warszawa,Polska,UoP,10,173,Aktywny,4,"Projekt 333","Rozliczenie miesiąca dla użytkownika 333"
334,"Imię 334","Nazwisko 334",Sprzedaż,Pracownik,4400,750,PLN,2026-09-27,user334@example.com,+48100100334,Warszawa,Polska,UoP,11,174,Aktywny,5,"Projekt 334","Rozliczenie miesiąca dla użytkownika 334"
335,"Imię 335","Nazwisko 335",Logistyka,Pracownik,4500,900,PLN,2026-09-28,user335@example.com,+48100100335,Warszawa,Polska,UoP,12,175,Aktywny,1,"Projekt 335","Rozliczenie miesiąca dla użytkownika 335"
336,"Imię 336","Nazwisko 336",Sprzedaż,Specjalista,4600,0,PLN,2026-09-01,user336@example.com,+48100100336,Warszawa,Polska,UoP,1,176,Aktywny,2,"Projekt 336","Rozliczenie miesiąca dla użytkownika 336"
337,"Imię 337","Nazwisko 337",Logistyka,Pracownik,4700,150,PLN,2026-09-02,user337@example.com,+48100100337,Warszawa,Polska,UoP,2,177,Aktywny,3,"Projekt 337","Rozliczenie miesiąca dla użytkownika 337"
338,"Imię 338","Nazwisko 338",Sprzedaż,Pracownik,4800,300,PLN,2026-09-03,user338@example.com,+48100100338,Warszawa,Polska,UoP,3,178,Aktywny,4,"Projekt 338","Rozliczenie miesiąca dla użytkownika 338"
339,"Imię 339","Nazwisko 339",Logistyka,Specjalista,4900,450,PLN,2026-09-04,user339@example.com,+48100100339,Warszawa,Polska,UoP,4,179,Aktywny,5,"Projekt 339","Rozliczenie miesiąca dla użytkownika 339"
340,"Imię 340","Nazwisko 340",Sprzedaż,Pracownik,5000,600,PLN,2026-09-05,user340@example.com,+48100100340,Warszawa,Polska,UoP,5,180,Aktywny,1,"Projekt 340","Rozliczenie miesiąca dla użytkownika 340"
341,"Imię 341","Nazwisko 341",Logistyka,Pracownik,5100,750,PLN,2026-09-06,user341@example.com,+48100100341,Warszawa,Polska,UoP,6,181,Aktywny,2,"Projekt 341","Rozliczenie miesiąca dla użytkownika 341"
342,"Imię 342","Nazwisko 342",Sprzedaż,Specjalista,5200,900,PLN,2026-09-07,user342@example.com,+48100100342,Warszawa,Polska,UoP,7,182,Aktywny,3,"Projekt 342","Rozliczenie miesiąca dla użytkownika 342"
343,"Imię 343","Nazwisko 343",Logistyka,Pracownik,5300,0,PLN,2026-09-08,user343@example.com,+48100100343,Warszawa,Polska,UoP,8,183,Aktywny,4,"Projekt 343","Rozliczenie miesiąca dla użytkownika 343"
344,"Imię 344","Nazwisko 344",Sprzedaż,Pracownik,5400,150,PLN,2026-09-09,user344@example.com,+48100100344,Warszawa,Polska,UoP,9,184,Aktywny,5,"Projekt 344","Rozliczenie miesiąca dla użytkownika 344"
345,"Imię 345","Nazwisko 345",Logistyka,Specjalista,5500,300,PLN,2026-09-10,user345@example.com,+48100100345,Warszawa,Polska,UoP,10,185,Aktywny,1,"Projekt 345","Rozliczenie miesiąca dla użytkownika 345"
346,"Imię 346","Nazwisko 346",Sprzedaż,Pracownik,5600,450,PLN,2026-09-11,user346@example.com,+48100100346,Warszawa,Polska,UoP,11,186,Aktywny,2,"Projekt 346","Rozliczenie miesiąca dla użytkownika 346"
347,"Imię 347","Nazwisko 347",Logistyka,Pracownik,5700,600,PLN,2026-09-12,user347@example.com,+48100100347,Warszawa,Polska,UoP,12,187,Aktywny,3,"Projekt 347","Rozliczenie miesiąca dla użytkownika 347"
348,"Imię 348","Nazwisko 348",Sprzedaż,Specjalista,5800,750,PLN,2026-09-13,user348@example.com,+48100100348,Warszawa,Polska,UoP,1,188,Aktywny,4,"Projekt 348","Rozliczenie miesiąca dla użytkownika 348"
349,"Imię 349","Nazwisko 349",Logistyka,Pracownik,5900,900,PLN,2026-09-14,user349@example.com,+48100100349,Warszawa,Polska,UoP,2,189,Aktywny,5,"Projekt 349","Rozliczenie miesiąca dla użytkownika 349"
350,"Imię 350","Nazwisko 350",Sprzedaż,Pracownik,3500,0,PLN,2026-09-15,user350@example.com,+48100100350,Warszawa,Polska,UoP,3,190,Aktywny,1,"Projekt 350","Rozliczenie miesiąca dla użytkownika 350"
351,"Imię 351","Nazwisko 351",Logistyka,Specjalista,3600,150,PLN,2026-09-16,user351@example.com,+48100100351,Warszawa,Polska,UoP,4,191,Aktywny,2,"Projekt 351","Rozliczenie miesiąca dla użytkownika 351"
352,"Imię 352","Nazwisko 352",Sprzedaż,Pracownik,3700,300,PLN,2026-09-17,user352@example.com,+48100100352,Warszawa,Polska,UoP,5,192,Aktywny,3,"Projekt 352","Rozliczenie miesiąca dla użytkownika 352"
353,"Imię 353","Nazwisko 353",Logistyka,Pracownik,3800,450,PLN,2026-09-18,user353@example.com,+48100100353,Warszawa,Polska,UoP,6,193,Aktywny,4,"Projekt 353","Rozliczenie miesiąca dla użytkownika 353"
354,"Imię 354","Nazwisko 354",Sprzedaż,Specjalista,3900,600,PLN,2026-09-19,user354@example.com,+48100100354,Warszawa,Polska,UoP,7,194,Aktywny,5,"Projekt 354","Rozliczenie miesiąca dla użytkownika 354"
355,"Imię 355","Nazwisko 355",Logistyka,Pracownik,4000,750,PLN,2026-09-20,user355@example.com,+48100100355,Warszawa,Polska,UoP,8,195,Aktywny,1,"Projekt 355","Rozliczenie miesiąca dla użytkownika 355"
356,"Imię 356","Nazwisko 356",Sprzedaż,Pracownik,4100,900,PLN,2026-09-21,user356@example.com,+48100100356,Warszawa,Polska,UoP,9,196,Aktywny,2,"Projekt 356","Rozliczenie miesiąca dla użytkownika 356"
357,"Imię 357","Nazwisko 357",Logistyka,Specjalista,4200,0,PLN,2026-09-22,user357@example.com,+48100100357,Warszawa,Polska,UoP,10,197,Aktywny,3,"Projekt 357","Rozliczenie miesiąca dla użytkownika 357"
358,"Imię 358","Nazwisko 358",Sprzedaż,Pracownik,4300,150,PLN,2026-09-23,user358@example.com,+48100100358,Warszawa,Polska,UoP,11,198,Aktywny,4,"Projekt 358","Rozliczenie miesiąca dla użytkownika 358"
359,"Imię 359","Nazwisko 359",Logistyka,Pracownik,4400,300,PLN,2026-09-24,user359@example.com,+48100100359,Warszawa,Polska,UoP,12,199,Aktywny,5,"Projekt 359","Rozliczenie miesiąca dla użytkownika 359"
360,"Imię 360","Nazwisko 360",Sprzedaż,Specjalista,4500,450,PLN,2026-09-25,user360@example.com,+48100100360,Warszawa,Polska,UoP,1,160,Aktywny,1,"Projekt 360","Rozliczenie miesiąca dla użytkownika 360"
361,"Imię 361","Nazwisko 361",Logistyka,Pracownik,4600,600,PLN,2026-09-26,user361@example.com,+48100100361,Warszawa,Polska,UoP,2,161,Aktywny,2,"Projekt 361","Rozliczenie miesiąca dla użytkownika 361"
362,"Imię 362","Nazwisko 362",Sprzedaż,Pracownik,4700,750,PLN,2026-09-27,user362@example.com,+48100100362,Warszawa,Polska,UoP,3,162,Aktywny,3,"Projekt 362","Rozliczenie miesiąca dla użytkownika 362"
